,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
55,56,0,good,27,quickshift,blend_3,100,100,False,30000,5000,3,0.13033428677152872,lm_p_maxloss,10.15563879590201,0.9823880917187493,1.6019669456090302,0.62698996,0.6269899772474712,0.62698996,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0031212258618324995,0.26316696,9.707975,0.0,0.0,0.0,0.0,0.0
56,57,0,good,28,quickshift,blend_2,100,100,False,30000,5000,3,0.08194681860815148,lm_p_maxloss,6.706235147979062,0.9920892500709241,1.2699977516956915,0.46172932,0.4617293033523444,0.46172932,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.001623758282524553,0.30253938,6.6969223,0.0,0.0,0.0,0.0,0.0
57,58,0,good,28,quickshift,blend_3,100,100,False,30000,5000,3,0.08931857210733643,lm_p_maxloss,6.715666212928955,0.9908722495518242,1.3842444285043887,0.54752165,0.5475216730567554,0.54752165,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.001623758282524553,0.30253938,6.6969223,0.0,0.0,0.0,0.0,0.0
58,59,0,good,29,quickshift,blend_2,100,100,False,30000,5000,3,0.10555920914103924,lm_p_maxloss,9.320807129538768,0.9795064394178159,1.5828679457917436,0.6066433,0.6066433068469279,0.6066433,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017018367652781308,0.2813441,9.028696,0.0,0.0,0.0,0.0,0.0
59,60,0,good,29,quickshift,blend_3,100,100,False,30000,5000,3,0.11067607760083695,lm_p_maxloss,9.379229567267195,0.9834540379914043,1.6632093225522118,0.5561061,0.5561061193729572,0.5561061,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017018367652781308,0.2813441,9.028696,0.0,0.0,0.0,0.0,0.0
60,61,0,good,30,quickshift,blend_2,100,100,False,30000,5000,3,0.10744267239900532,lm_p_maxloss,8.826132456869065,0.9889832204218382,1.4545431909016309,0.5667052,0.5667052421606614,0.5667052,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002390842465198754,0.36520037,8.520983,0.0,0.0,0.0,0.0,0.0
61,62,0,good,30,quickshift,blend_3,100,100,False,30000,5000,3,0.11088457608577543,lm_p_maxloss,8.782011050240426,0.989262059205968,1.5159464843749124,0.5563082,0.5563082183466287,0.5563082,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002390842465198754,0.36520037,8.520983,0.0,0.0,0.0,0.0,0.0
62,63,0,good,31,quickshift,blend_2,100,100,False,30000,5000,3,0.11081759997991261,lm_p_maxloss,8.340206938101225,0.9857029342892705,1.5205084099269588,0.77855176,0.7785517547236462,0.77855176,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0024508463247912005,0.30984676,8.178867,0.0,0.0,0.0,0.0,0.0
63,64,0,good,31,quickshift,blend_3,100,100,False,30000,5000,3,0.11479476271962619,lm_p_maxloss,8.368977426429105,0.9875367627267928,1.5636545025798934,0.8171648,0.817164786058555,0.8171648,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0024508463247912005,0.30984676,8.178867,0.0,0.0,0.0,0.0,0.0
64,65,0,good,32,quickshift,blend_2,100,100,False,30000,5000,3,0.0805209751429577,lm_p_maxloss,7.156303092443524,0.9899444161399091,1.3347101408476536,0.54245543,0.5424554571378605,0.54245543,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00180212589718091,0.3119118,7.081694,0.0,0.0,0.0,0.0,0.0
